lambda,n,k,e1,e2,lambda_real
6.0,1.3509417890843387,0.9901087467756113,0.8447283870528222,2.6751585635141937,3.0000000000000004e-07
6.08080808080808,1.2864558390268706,0.8631427865909441,0.9099531557223494,2.220790155447688,3.0404040404040405e-07
6.161616161616162,1.1944041705254365,0.7167086353876807,0.9129300545292844,1.7120795663172805,3.080808080808081e-07
6.242424242424242,1.0955062427492228,0.5610420983374957,0.8853656917955789,1.2292502423476999,3.1212121212121213e-07
6.3232323232323235,0.984975057085274,0.42964521343613926,0.7855808536515532,0.846379637261352,3.161616161616162e-07
6.404040404040404,0.8202634710152975,0.3903219026813315,0.5204809741692891,0.6403335974133683,3.202020202020202e-07
6.484848484848484,0.5758932991529135,0.49128353174036254,0.09029358344994334,0.565853787826905,3.2424242424242427e-07
6.565656565656566,0.3195597146953551,0.6771614012899545,-0.356429152140798,0.43278700839784945,3.282828282828283e-07
6.646464646464646,0.14569200287897655,0.8627634604527652,-0.7231346289895425,0.25139547312832006,3.3232323232323235e-07
6.7272727272727275,0.10066261667193692,0.9954422167764906,-0.9807722445456524,0.20040763657287,3.363636363636364e-07
6.808080808080808,0.12473713392962292,1.094409432986142,-1.1821726544280722,0.27302699203247016,3.4040404040404043e-07
6.888888888888889,0.14573006935311306,1.1877890775405602,-1.3896056396109917,0.346193169293712,3.444444444444445e-07
6.96969696969697,0.13507766302783344,1.2862371381475168,-1.6361600005008534,0.34748381344115026,3.484848484848485e-07
7.05050505050505,0.1100248227768868,1.3820658777028227,-1.8980006286833886,0.30412310652047114,3.525252525252525e-07
7.1313131313131315,0.08918201840804584,1.4671588160888949,-2.1446015592200345,0.26168836908793314,3.565656565656566e-07
7.212121212121212,0.07837888981907612,1.5403899653301965,-2.366657994920693,0.2414681107420519,3.6060606060606065e-07
7.292929292929293,0.07322419943171975,1.6062236601598168,-2.574592663074782,0.23522888324697852,3.6464646464646466e-07
7.373737373737374,0.06904870198193182,1.6692729855718091,-2.7817045771144318,0.23052226581447485,3.6868686868686873e-07
7.454545454545455,0.0629904331657702,1.7324123500180422,-2.997284755824624,0.21825080869873276,3.727272727272728e-07
7.5353535353535355,0.05627956158485893,1.7945793664838843,-3.217347713557516,0.20199627994989378,3.767676767676768e-07
7.616161616161616,0.05070934431478841,1.8541699343293945,-3.4353747077702352,0.18804748323607576,3.808080808080808e-07
7.696969696969697,0.047810891255546786,1.909882294046281,-3.645364495788835,0.18262634934308195,3.848484848484849e-07
7.777777777777778,0.04734722058114902,1.9624538721371958,-3.8489834409695134,0.18583347272881964,3.888888888888889e-07
7.858585858585859,0.04835061649317895,2.0134648695335278,-4.051702998730396,0.19470453545860839,3.9292929292929296e-07
7.9393939393939394,0.049851050242929365,2.0644981547521764,-4.259667503764818,0.20583480247797142,3.96969696969697e-07
8.02020202020202,0.0509829552866053,2.116803377870254,-4.478257278833162,0.21584178392898845,4.0101010101010104e-07
8.1010101010101,0.05145711096673151,2.1697917338300163,-4.7053483339280255,0.22330242804477582,4.0505050505050505e-07
8.181818181818182,0.0511819835974853,2.222243826401383,-4.935748028534087,0.2274776941449771,4.090909090909091e-07
8.262626262626263,0.05006621639162171,2.2729396950748915,-5.163748231423368,0.22759498123745237,4.131313131313132e-07
8.343434343434343,0.04809246217637069,2.3208909735497296,-5.384222026186426,0.22323472272184106,4.171717171717172e-07
8.424242424242424,0.04557895559807211,2.3661594132210886,-5.5966329275813544,0.21569414966632872,4.212121212121212e-07
8.505050505050505,0.04293899842585667,2.4091042537933136,-5.801939548059223,0.2068890475227114,4.252525252525253e-07
8.585858585858587,0.04058589854983698,2.4500847541248008,-6.001268087233687,0.19887778253882288,4.2929292929292934e-07
8.666666666666668,0.03890603075789718,2.4894766978150376,-6.195980549734729,0.19371131395252028,4.333333333333334e-07
8.747474747474747,0.03800893510779837,2.527825719756585,-6.388458190314868,0.19215992749210348,4.3737373737373736e-07
8.828282828282829,0.037841383976607836,2.565777320567037,-6.581781288394899,0.19418512957209852,4.414141414141415e-07
8.90909090909091,0.038348067210279314,2.603978278596016,-6.779232301141107,0.1997150680834149,4.4545454545454555e-07
8.98989898989899,0.03947367465476651,2.6430753721931453,-6.984289252103182,0.20866379465995624,4.494949494949495e-07
9.070707070707071,0.041154466084223774,2.683652726149559,-7.200298264491283,0.2208885902003134,4.5353535353535357e-07
9.151515151515152,0.04322339135991813,2.7255266504828355,-7.426627260931532,0.23561301015141278,4.5757575757575764e-07
9.232323232323232,0.045444137393887904,2.767998682579431,-7.659751537137992,0.25157862487448074,4.6161616161616165e-07
9.313131313131313,0.04757911351134156,2.8103608646087896,-7.895864417282138,0.26742895717010723,4.6565656565656566e-07
9.393939393939394,0.049390729037487466,2.851905238740356,-8.130924046639832,0.28171535777443185,4.696969696969698e-07
9.474747474747474,0.05065269888236482,2.8919586853432726,-8.360859341828322,0.29297102493786487,4.737373737373737e-07
9.555555555555555,0.051323192190973664,2.9304164811650595,-8.584706683027138,0.3007966565248622,4.777777777777778e-07
9.636363636363637,0.051510621200323764,2.967636877573434,-8.804215293037359,0.3057296381215935,4.818181818181818e-07
9.717171717171718,0.051327771109189436,3.0039916012332766,-9.021331000193028,0.3083763866440582,4.858585858585859e-07
9.7979797979798,0.05088742711634503,3.0398523788094707,-9.238112954715076,0.30938053274223,4.898989898989899e-07
9.878787878787879,0.050302374420564865,3.0755909369668974,-9.456729282680572,0.30941905375160955,4.93939393939394e-07
9.95959595959596,0.04968479901426249,3.1115706847066757,-9.679403546672882,0.3091955281766446,4.979797979797981e-07
10.040404040404042,0.04913401472804207,3.1479763508274896,-9.907340953965862,0.309345432770172,5.020202020202021e-07
10.121212121212121,0.04873694915099223,3.18482072905028,-10.14070778597581,0.310436891853499,5.060606060606061e-07
10.202020202020202,0.048580027895013755,3.2221096450834024,-10.379630545829208,0.31306035287788914,5.101010101010101e-07
10.282828282828284,0.048749676572007475,3.2598489246352083,-10.624238480479448,0.31783316149914553,5.141414141414142e-07
10.363636363636363,0.04933232079387418,3.298044393414051,-10.874663143054946,0.3254003680166803,5.181818181818181e-07
10.444444444444445,0.05041266885735951,3.3367002633042646,-11.131027209953427,0.33642393090044437,5.222222222222224e-07
10.525252525252526,0.051967728761483326,3.3757195362712618,-11.392781742730834,0.3508569544715704,5.262626262626264e-07
10.606060606060606,0.05380483610727618,3.414845766906538,-11.65827665137097,0.36747043364006426,5.303030303030303e-07
10.686868686868687,0.05571640638126218,3.4538084888229004,-11.925688759525084,0.38486759465261944,5.343434343434343e-07
10.767676767676768,0.057494855069965246,3.4923372356331517,-12.193113709030289,0.40158284643634223,5.383838383838385e-07
10.848484848484848,0.05893259765990937,3.530161540950094,-12.4585674541362,0.41608317953459517,5.424242424242424e-07
10.92929292929293,0.05982204963761867,3.567010938386538,-12.719988356946365,0.42677181082817645,5.464646464646465e-07
11.01010101010101,0.05996270607909018,3.6026242384705642,-12.975305877495286,0.43204619664963306,5.505050505050507e-07
11.090909090909092,0.059340944453588965,3.6369851376995137,-13.224139544158508,0.4316442660695109,5.545454545454547e-07
11.171717171717173,0.05814445198172171,3.6703411237857004,-13.468023187656224,0.42681994645699234,5.585858585858587e-07
11.252525252525253,0.056570885948379314,3.702952748961922,-13.708658795907672,0.4189586352675251,5.626262626262626e-07
11.333333333333334,0.05481790363845258,3.7350805654609838,-13.947821827925027,0.4094985730385943,5.666666666666668e-07
11.414141414141415,0.053083162336832405,3.766985125515684,-14.187359113732736,0.3999269658763641,5.707070707070708e-07
11.494949494949495,0.0515643193284097,3.7989269813588242,-14.429187330668267,0.39177816794419584,5.747474747474747e-07
11.575757575757576,0.050459031898075254,3.8311666852232054,-14.675292056064071,0.3866339239530419,5.787878787878787e-07
11.656565656565657,0.0499646142742971,3.863964368054198,-14.927724174912898,0.38612297843891236,5.82828282828283e-07
11.737373737373737,0.05018344504476238,3.8974635759161607,-15.187703947436626,0.39117629835190343,5.868686868686869e-07
11.818181818181818,0.05099397817895903,3.9315328662100524,-15.454350292279313,0.4009690023787513,5.909090909090909e-07
11.8989898989899,0.05224239875755889,3.966001168810939,-15.72643600278179,0.41438682906793145,5.949494949494951e-07
11.97979797979798,0.05377489186123376,4.000697413593885,-16.002688056142112,0.43027414157105753,5.98989898989899e-07
12.060606060606062,0.05543764257065559,4.035450530433963,-16.281787651365967,0.44743172823552113,6.030303030303031e-07
12.141414141414142,0.05707683596649604,4.070089449206233,-16.56237035933595,0.4646156557226208,6.07070707070707e-07
12.222222222222221,0.058538657129427046,4.104443099785765,-16.843026385000464,0.48053717465120327,6.111111111111112e-07
12.303030303030305,0.05966929114012048,4.138340412047627,-17.122300941681356,0.49386367776679196,6.151515151515153e-07
12.383838383838384,0.06032255481274883,4.171619319532056,-17.398768936473953,0.5032854701207888,6.191919191919192e-07
12.464646464646465,0.06047015626380079,4.20425684001391,-17.67211893700518,0.5084641361775889,6.232323232323234e-07
12.545454545454547,0.06017648586258137,4.236339334705117,-17.942949749319023,0.5098560281679597,6.272727272727274e-07
12.626262626262626,0.05950843224375161,4.2679561121879175,-18.211908122054094,0.5079587542428805,6.313131313131313e-07
12.707070707070708,0.058532884041972454,4.299196481044557,-18.47966428411163,0.5032887381972742,6.353535353535353e-07
12.787878787878789,0.0573167298919049,4.330149749857276,-18.74691164866353,0.49638004720813816,6.393939393939396e-07
12.868686868686869,0.055926858428210005,4.360905227208317,-19.014366587199174,0.4877834585218411,6.434343434343435e-07
12.94949494949495,0.054430158285548695,4.391552221679924,-19.282768273610888,0.47806576509058263,6.474747474747475e-07
13.030303030303031,0.052893518098581976,4.422180041854337,-19.55287859831798,0.46780932015802074,6.515151515151515e-07
13.11111111111111,0.05138382650197092,4.4528779963138,-19.825482152429622,0.45761182079406443,6.555555555555556e-07
13.191919191919194,0.04996797193420033,4.483735393391461,-20.101386279732065,0.44808632859473035,6.595959595959597e-07
13.272727272727273,0.04869713142249837,4.5148215916921055,-20.381242594200454,0.4397177207995274,6.636363636363636e-07
13.353535353535353,0.04756395558323005,4.54613163529974,-20.665050515602363,0.43246400635382765,6.676767676767677e-07
13.434343434343436,0.0465474699771565,4.57764326774187,-20.952651219741192,0.42615542514269455,6.717171717171719e-07
13.515151515151516,0.04562670016503901,4.609334232545997,-21.243880271552445,0.4206174219776528,6.757575757575758e-07
13.595959595959597,0.04478067170763867,4.641182273239629,-21.53856758487518,0.41567051942651195,6.797979797979798e-07
13.676767676767678,0.04398841016571669,4.67316513335027,-21.836537383331745,0.4111302093158756,6.83838383838384e-07
13.757575757575758,0.04322894110003425,4.705260556405425,-22.13760816231606,0.406806862906329,6.878787878787879e-07
13.83838383838384,0.0424812900713525,4.737446285932598,-22.44159265209044,0.4025056597403085,6.919191919191919e-07
13.91919191919192,0.04172448264043263,4.769700065459293,-22.748297781990775,0.39802653516265335,6.959595959595962e-07
14.0,0.040937544368035844,4.801999638513018,-23.057524645740273,0.3931641465138375,7.000000000000001e-07
